name,date,author,risk_score,severity,tactic,technique,subtechnique
Bat files observed in HTTP Traffic on Unusual Port ,2025/07/11,['Hassnain Moavia'],32,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
PowerShell Invoke-WebRequest Downloading .BAT File,2025/06/11,['Hassnain Moavia'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Data Archive for Potential Exfil,2025/07/11,['Hassnain Moavia'],60,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Data Exfiltration Observed via FTP,2025/07/11,['Hassnain Moavia'],50,high,Exfiltration,T1020 - Automated Exfiltration,none - none
Suspicious File Written to Temp Directory,2025/05/11,['Hassnain Moavia'],75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
Excessive Web Traffic,2025/07/11,['Hassnain Moavia'],96,low,Discovery,T1046 - Network Service Discovery,none - none
Potential MSF PowerShell Payload Observed,2025/06/11,['Hassnain Moavia'],55,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Web Scanner Activity - Nmap and Nikto,2025/05/11,['Hassnain Moavia'],25,low,Discovery,T1046 - Network Service Discovery,none - none
PowerShell Execution via a BAT File,2025/06/11,['Hassnain Moavia'],585,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File Added to Registry,2025/05/11,['Hassnain Moavia'],75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
